1/12/25,2/12/25,3/12/25,4/12/25,5/12/25,6/12/25,7/12/25,8/12/25,9/12/25,10/12/25,11/12/25,12/12/25,13/12/25,14/12/25,15/12/25,16/12/25,17/12/25,18/12/25,19/12/25,20/12/25,21/12/25,22/12/25,23/12/25,24/12/25,25/12/25,26/12/25,27/12/25,28/12/25,29/12/25,30/12/25,31/12/25
A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS
A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS
A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21L-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS
A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32L-GS,A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A30-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A30-GS
A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32L-GS,A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A31-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A31-GS
A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50-GS,A50-GS,A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50L-GS,A50L1-GS,A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50L2-GS,A50L1-GS,A40-GS,BR1-GS,A40-GS,BR1-GS,A40-GS,A50-GS,A50L1-GS,A40-GS,BR1-GS,A40-GS
A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50-GS,A50-GS,A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50L-GS,A50L1-GS,A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50L2-GS,A50L1-GS,A40-GS,BR2-GS,A40-GS,BR2-GS,A40-GS,A50-GS,A50L1-GS,A40-GS,BR2-GS,A40-GS
A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,A50-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,A50-GS
A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,A50-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,A50-GS
BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,BR1-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,BR1-GS
BR2-GS,C10-GS,C30-GS,C10-GS,BR2-GS,C10-GS,C10-GS,BR2-GS,C10-GS,C30-GS,C10-GS,BR2-GS,C10-GS,C10-GS,BR2-GS,C10-GS,C30-GS,C10-GS,BR2L-GS,C10-GS,C10-GS,BR2-GS,C10-GS,BR2-GS,C10-GS,BR2L-GS,C10-GS,C10-GS,BR2-GS,C10-GS,BR2-GS
C10-GS,CAR1-GS,CAR1-GS,CAR1-GS,C10-GS,C21-GS,D10-GS,C10-GS,CAR1-GS,CAR1-GS,CAR1-GS,C10-GS,C21-GS,D10-GS,C10-GS,CAR1-GS,CAR1-GS,CAR1-GS,C10L-GS,C21-GS,D10-GS,C10-GS,CAR1-GS,C10-GS,CAR1-GS,C10L-GS,C21-GS,D10-GS,C10-GS,CAR1-GS,C10-GS
C10-GS,CAR2-GS,CAR2-GS,CAR2-GS,C10-GS,C21-GS,D21-GS,C10-GS,CAR2-GS,CAR2-GS,CAR2-GS,C10-GS,C21-GS,D21-GS,C10-GS,CAR2-GS,CAR2-GS,CAR2-GS,C10L-GS,C21-GS,D21-GS,C10-GS,CAR2-GS,C10-GS,CAR2-GS,C10L-GS,C21-GS,D21-GS,C10-GS,CAR2-GS,C10-GS
C20-GS,CAR3-GS,CAR3-GS,CAR3-GS,C20-GS,A40-GS,D21-GS,C20-GS,CAR3-GS,CAR3-GS,CAR3-GS,C20-GS,A40-GS,D21-GS,C20-GS,CAR3-GS,CAR3-GS,CAR3-GS,C20-GS,A40-GS,D21-GS,C20-GS,CAR3-GS,C20-GS,CAR3-GS,C20-GS,A40-GS,D21-GS,C20-GS,CAR3-GS,C20-GS
C20-GS,ES1-GS,ES1-GS,ES1-GS,C20-GS,A40-GS,LCI-GS,C20-GS,ES1-GS,ES1-GS,ES1-GS,C20-GS,A40-GS,NLS1-GS,C20-GS,ES1-GS,ES1-GS,ES1-GS,C20-GS,A40-GS,NLS1-GS,C20-GS,ES1-GS,C20-GS,ES1-GS,C20-GS,A40-GS,NLS1-GS,C20-GS,ES1-GS,C20-GS
D10-GS,ES2-GS,ES2-GS,ES2-GS,D10-GS,D10-GS,LUA-GS,D10-GS,ES2-GS,ES2-GS,ES2-GS,D10-GS,D10-GS,LCI-GS,D10-GS,ES2-GS,ES2-GS,ES2-GS,D10-GS,D10-GS,LCI-GS,D10-GS,ES2-GS,D10-GS,ES2-GS,D10-GS,D10-GS,LCI-GS,D10-GS,ES2-GS,D10-GS
CAR1-GS,VAL1-GS,VAL1-GS,VAL1-GS,CAR1-GS,D21-GS,SV-GS,CAR1-GS,VAL1-GS,VAL1-GS,VAL1-GS,CAR1-GS,D21-GS,LUA-GS,CAR1-GS,VAL1-GS,VAL1-GS,VAL1-GS,CAR1-GS,D21-GS,LUA-GS,CAR1-GS,VAL1-GS,CAR1-GS,VAL1-GS,CAR1-GS,D21-GS,LUA-GS,CAR1-GS,VAL1-GS,CAR1-GS
CAR2-GS,D10-GS,D10K-GS,D10-GS,CAR2-GS,D21-GS,Z10L-GS,CAR2-GS,D10-GS,D10K-GS,D10-GS,CAR2-GS,D21-GS,SV-GS,CAR2-GS,D10-GS,D10K-GS,D10-GS,CAR2-GS,D21-GS,SV-GS,CAR2-GS,D10-GS,CAR2-GS,D10-GS,CAR2-GS,D21-GS,SV-GS,CAR2-GS,D10-GS,CAR2-GS
CAR3G-GS,D21-GS,D20-GS,D21-GS,CAR3-GS,ES3-GS,Z10L-GS,CAR3G-GS,D21-GS,D20-GS,D21-GS,CAR3-GS,ES3-GS,Z10L-GS,CAR3G-GS,D21-GS,D20-GS,D21-GS,CAR3-GS,ES3-GS,Z10L-GS,CAR3G-GS,D21-GS,CAR3-GS,D21-GS,CAR3-GS,ES3-GS,Z10L-GS,CAR3G-GS,D21-GS,CAR3-GS
ES1-GS,D21-GS,D20-GS,D21-GS,CAR3G-GS,POS-GS,Z20D-GS,ES1-GS,D21-GS,D20-GS,D21-GS,CAR3G-GS,N40-GS,Z10L-GS,ES1-GS,D21-GS,D20-GS,D21-GS,CAR3G-GS,NLS-GS,Z10L-GS,ES1-GS,D21-GS,ES1-GS,D21-GS,CAR3G-GS,NLS-GS,Z10LS2-GS,ES1-GS,D21-GS,ES1-GS
ES2-GS,POS-GS,POS-GS,POS-GS,ES1-GS,LCI-GS,Z20-GS,ES2-GS,POS-GS,POS-GS,POS-GS,ES1-GS,POS-GS,Z20D-GS,ES2-GS,POS-GS,POS-GS,POS-GS,ES1-GS,POS-GS,Z20D-GS,ES2-GS,POS-GS,ES2-GS,POS-GS,ES1-GS,POS-GS,Z20D-GS,ES2-GS,POS-GS,ES2-GS
VAL1-GS,LCI-GS,LCI-GS,LCI-GS,ES2-GS,LUA-GS,Z20-GS,VAL1-GS,LCI-GS,LCI-GS,LCI-GS,ES2-GS,LCI-GS,Z20-GS,VAL1-GS,LCI-GS,LCI-GS,LCI-GS,ES2-GS,LCI-GS,Z20-GS,VAL1-GS,LCI-GS,VAL1-GS,LCI-GS,ES2-GS,LCI-GS,Z20-GS,VAL1-GS,LCI-GS,VAL1-GS
D20-GS,LUA-GS,LUA-GS,LUA-GS,VAL2-GS,SV-GS,ZG1-GS,D20-GS,LUA-GS,LUA-GS,LUA-GS,VAL2-GS,LUA-GS,Z20-GS,D20-GS,LUA-GS,LUA-GS,LUA-GS,VAL2-GS,LUA-GS,Z20-GS,D20-GS,LUA-GS,D20-GS,LUA-GS,VAL2-GS,LUA-GS,Z20-GS,D20-GS,LUA-GS,D20-GS
D20-GS,SV-GS,SV-GS,SV-GS,D20-GS,Z10L-GS,ZG1-GS,D20-GS,SV-GS,SV-GS,SV-GS,D20-GS,SV-GS,ZG1-GS,D20-GS,SV-GS,SV-GS,SV-GS,D20-GS,SV-GS,ZG1-GS,D20-GS,SV-GS,D20-GS,SV-GS,D20-GS,SV-GS,ZG1-GS,D20-GS,SV-GS,D20-GS
N41-GS,Z10L-GS,Z10L-GS,Z10L-GS,D20-GS,Z10L-GS,ZR1-GS,N41-GS,Z10L-GS,Z10L-GS,Z10L-GS,D20-GS,Z10L-GS,ZG1-GS,N41-GS,Z10L-GS,Z10L-GS,Z10L-GS,D20-GS,Z10L-GS,ZG1-GS,N41-GS,Z10L-GS,POS-GS,Z10L-GS,D20-GS,Z10L-GS,ZG1-GS,N41-GS,Z10L-GS,POS-GS
POS-GS,Z10L-GS,Z10L-GS,Z10L-GS,N43-GS,Z20D-GS,ZR1-GS,POS-GS,Z10L-GS,Z10L-GS,Z10L-GS,N43-GS,Z10L-GS,ZR1-GS,POS-GS,Z10L-GS,Z10L-GS,Z10L-GS,N43-GS,Z10LS-GS,ZR1-GS,POS-GS,Z10L-GS,LCI-GS,Z10L-GS,N43-GS,Z10LS-GS,ZR1L2-GS,POS-GS,Z10L-GS,LCI-GS
LCI-GS,Z20D-GS,Z20D-GS,Z20D-GS,POSC-GS,Z20-GS,G01-GS,LCI-GS,Z20D-GS,Z20D-GS,Z20D-GS,POSC-GS,Z20D-GS,ZR1-GS,LCI-GS,Z20D-GS,Z20D-GS,Z20D-GS,POSC-GS,Z20D-GS,ZR1-GS,LCI-GS,Z20D-GS,LUA-GS,Z20D-GS,POSC-GS,Z20D-GS,ZR1L2-GS,LCI-GS,Z20D-GS,LUA-GS
LUA-GS,Z20-GS,Z20D-GS,Z20-GS,LCI-GS,Z20-GS,G02-GS,LUA-GS,Z20-GS,Z20D-GS,Z20-GS,LCI-GS,Z20-GS,G01-GS,LUA-GS,Z20-GS,Z20D-GS,Z20-GS,LCI-GS,Z20-GS,T2-GS,LUA-GS,Z20-GS,SV-GS,Z20-GS,LCI-GS,Z20-GS,T2-GS,LUA-GS,Z20-GS,SV-GS
SV-GS,Z20-GS,Z20-GS,Z20-GS,LUA-GS,ZG1-GS,G03-GS,SV-GS,Z20-GS,Z20-GS,Z20-GS,LUA-GS,Z20-GS,G02-GS,SV-GS,Z20-GS,Z20-GS,Z20-GS,LUA-GS,Z20-GS,LSD2-GS,SV-GS,Z20-GS,Z10L-GS,Z20-GS,LUA-GS,Z20-GS,LSD2-GS,SV-GS,Z20-GS,Z10L-GS
Z10L-GS,ZG1-GS,ZG1-GS,ZG1-GS,SV-GS,ZG1-GS,G04-GS,Z10L-GS,ZG1-GS,ZG1-GS,ZG1-GS,SV-GS,ZG1-GS,G03-GS,Z10L-GS,ZG1-GS,ZG1-GS,ZG1-GS,SV-GS,ZG1-GS,LSD2-GS,Z10L-GS,ZG1-GS,Z10L-GS,ZG1-GS,SV-GS,ZG1-GS,LSD2-GS,Z10L-GS,ZG1-GS,Z10L-GS
Z10L-GS,ZG1-GS,ZR1-GS,ZG1-GS,Z10L-GS,ZR1-GS,ISA1-GS,Z10L-GS,ZG1-GS,ZR1-GS,ZG1-GS,Z10L-GS,ZG1-GS,G04-GS,Z10L-GS,ZG1-GS,ZR1-GS,ZG1-GS,Z10LS-GS,ZG1-GS,LSB2-GS,Z10LS2-GS,ZG1-GS,Z20D-GS,ZG1-GS,Z10LS-GS,ZG1-GS,LSB2-GS,Z10LS2-GS,ZG1-GS,Z20D-GS
Z20D-GS,ZR1-GS,G01-GS,ZR1-GS,Z10L-GS,ZR1-GS,ISA2,Z20D-GS,ZR1-GS,G01-GS,ZR1-GS,Z10L-GS,ZR1-GS,ISA1-GS,Z20D-GS,ZR1-GS,G01-GS,ZR1-GS,Z10L-GS,ZR1L-GS,G01-GS,Z20D-GS,ZR1-GS,Z20-GS,ZR1-GS,Z10L-GS,ZR1L-GS,G01-GS,Z20D-GS,ZR1-GS,Z20-GS
Z20-GS,ZR1-GS,G02-GS,ZR1-GS,Z20D-GS,G01-GS,ISA3-GS,Z20-GS,ZR1-GS,G02-GS,ZR1-GS,Z20D-GS,ZR1-GS,ISA2,Z20-GS,ZR1-GS,G02-GS,ZR1-GS,Z20D-GS,ZR1L-GS,G02-GS,Z20-GS,ZR1-GS,Z20-GS,ZR1-GS,Z20D-GS,ZR1L-GS,G02-GS,Z20-GS,ZR1-GS,Z20-GS
Z20-GS,G01-GS,G03-GS,G01-GS,Z20-GS,G02-GS,,Z20-GS,G01-GS,G03-GS,G01-GS,Z20-GS,T1B-GS,ISA3-GS,Z20-GS,G01-GS,G03-GS,G01-GS,Z20-GS,T1-GS,G03-GS,Z20-GS,G01-GS,ZG1-GS,G01-GS,Z20-GS,T1-GS,G03-GS,Z20-GS,G01-GS,ZG1-GS
ZG1-GS,G02-GS,G04-GS,G02-GS,Z20-GS,G03-GS,,ZG1-GS,G02-GS,G04-GS,G02-GS,Z20-GS,LSD3-GS,,ZG1-GS,G02-GS,G04-GS,G02-GS,Z20-GS,LSD-GS,G04-GS,ZG1-GS,G02-GS,ZG1-GS,G02-GS,Z20-GS,LSD-GS,G04-GS,ZG1-GS,G02-GS,ZG1-GS
ZG1-GS,G03-GS,ISA1-GS,G03-GS,ZG1-GS,G04-GS,,ZG1-GS,G03-GS,ISA1-GS,G03-GS,ZG1-GS,LSD3-GS,,ZG1-GS,G03-GS,ISA1-GS,G03-GS,ZG1-GS,LSD-GS,ISA1-GS,ZG1-GS,G03-GS,ZR1-GS,G03-GS,ZG1-GS,LSD-GS,ISA1-GS,ZG1-GS,G03-GS,ZR1-GS
ZR1-GS,G04-GS,ISA2,G04-GS,ZG1-GS,ISA1-GS,,ZR1-GS,G04-GS,ISA2,G04-GS,ZG1-GS,LSB3-GS,,ZR1-GS,G04-GS,ISA2,G04-GS,ZG1-GS,LSB-GS,ISA2,ZR1L2-GS,G04-GS,ZR1-GS,G04-GS,ZG1-GS,LSB-GS,ISA2,ZR1L2-GS,G04-GS,ZR1-GS
ZR1-GS,ISA1-GS,,ISA1-GS,ZR1-GS,ISA2,,ZR1-GS,ISA1-GS,,ISA1-GS,ZR1-GS,LSD4-GS,,ZR1-GS,ISA1-GS,,ISA1-GS,ZR1L-GS,LSD1-GS,ISA3-GS,ZR1L2-GS,ISA1-GS,G01-GS,ISA1-GS,ZR1L-GS,LSD1-GS,ISA3-GS,ZR1L2-GS,ISA1-GS,G01-GS
G01-GS,ISA2,,ISA2,ZR1-GS,ISA3-GS,,G01-GS,ISA2,,ISA2,ZR1-GS,LSD4-GS,,G01-GS,ISA2,,ISA2,ZR1L-GS,LSD1-GS,,G01-GS,ISA2,G02-GS,ISA2,ZR1L-GS,LSD1-GS,,G01-GS,ISA2,G02-GS
G02-GS,,,,G01-GS,,,G02-GS,,,,G01-GS,LSB4-GS,,G02-GS,,,,G01-GS,LSB1-GS,,G02-GS,,G03-GS,,G01-GS,LSB1-GS,,G02-GS,,G03-GS
G03-GS,,,,G02-GS,,,G03-GS,,,,G02-GS,G01-GS,,G03-GS,,,,G02-GS,G01-GS,,G03-GS,,G04-GS,,G02-GS,G01-GS,,G03-GS,,G04-GS
G04-GS,,,,G03-GS,,,G04-GS,,,,G03-GS,G02-GS,,G04-GS,,,,G03-GS,G02-GS,,G04-GS,,ISA1-GS,,G03-GS,G02-GS,,G04-GS,,ISA1-GS
ISA1-GS,,,,G04-GS,,,ISA1-GS,,,,G04-GS,G03-GS,,ISA1-GS,,,,G04-GS,G03-GS,,ISA1-GS,,ISA2,,G04-GS,G03-GS,,ISA1-GS,,ISA2
ISA2,,,,ISA1-GS,,,ISA2,,,,ISA1-GS,G04-GS,,ISA2,,,,ISA1-GS,G04-GS,,ISA2,,,,ISA1-GS,G04-GS,,ISA2,,
,,,,ISA2,,,,,,,ISA2,ISA1-GS,,,,,,ISA2,ISA1-GS,,,,,,ISA2,ISA1-GS,,,,
,,,,,,,,,,,,ISA2,,,,,,,ISA2,,,,,,,ISA2,,,,
,,,,,,,,,,,,ISA3-GS,,,,,,,ISA3-GS,,,,,,,ISA3-GS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
